"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2021年03月05日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A2101","A210101","A210102","A2102","A2201","A2301"
"調査年 コード","調査年","地域 コード","地域","/項目","A2101_住民基本台帳人口（日本人）【人】","A210101_住民基本台帳人口（日本人）（男）【人】","A210102_住民基本台帳人口（日本人）（女）【人】","A2102_行政区域内人口（住民基本台帳人口＋外国人登録人口）【人】","A2201_住民基本台帳人口（外国人）【人】","A2301_住民基本台帳人口（総数）【人】"
"2019100000","2019年度","01000","北海道","","5,226,066","2,469,477","2,756,589","***","41,696","5,267,762"
"2019100000","2019年度","02000","青森県","","1,269,494","601,936","667,558","***","6,289","1,275,783"
"2019100000","2019年度","03000","岩手県","","1,227,464","591,881","635,583","***","8,053","1,235,517"
"2019100000","2019年度","04000","宮城県","","2,268,775","1,106,694","1,162,081","***","23,610","2,292,385"
"2019100000","2019年度","05000","秋田県","","981,114","463,874","517,240","***","4,302","985,416"
"2019100000","2019年度","06000","山形県","","1,074,351","519,970","554,381","***","7,945","1,082,296"
"2019100000","2019年度","07000","福島県","","1,866,570","916,784","949,786","***","15,411","1,881,981"
"2019100000","2019年度","08000","茨城県","","2,851,707","1,427,419","1,424,288","***","69,729","2,921,436"
"2019100000","2019年度","09000","栃木県","","1,922,681","961,367","961,314","***","42,835","1,965,516"
"2019100000","2019年度","10000","群馬県","","1,909,403","945,462","963,941","***","60,036","1,969,439"
"2019100000","2019年度","11000","埼玉県","","7,197,793","3,600,888","3,596,905","***","192,261","7,390,054"
"2019100000","2019年度","12000","千葉県","","6,154,626","3,071,933","3,082,693","***","165,146","6,319,772"
"2019100000","2019年度","13000","東京都","","13,257,596","6,522,813","6,734,783","***","577,329","13,834,925"
"2019100000","2019年度","14000","神奈川県","","8,981,167","4,481,688","4,499,479","***","228,275","9,209,442"
"2019100000","2019年度","15000","新潟県","","2,217,650","1,078,566","1,139,084","***","18,392","2,236,042"
"2019100000","2019年度","16000","富山県","","1,036,503","503,204","533,299","***","19,496","1,055,999"
