Date,Open,High,Low,Close,Volume
2010-01-04,1541.65,1570.13,1541.65,1567.93,1292786
2010-01-05,1598.65,1607.43,1583.29,1596.46,2052951
2010-01-06,1589.88,1609.61,1581.11,1607.43,2007352
2010-01-07,1622.78,1631.54,1603.04,1607.43,2033344
2010-01-08,1611.82,1618.38,1559.18,1572.33,3489378
2010-01-12,1563.56,1585.49,1559.18,1578.91,2837286
2010-01-13,1539.44,1559.18,1537.26,1546.03,2491178
2010-01-14,1541.65,1556.99,1532.86,1552.62,1863708
2010-01-15,1559.18,1570.13,1541.65,1567.93,2126368
2010-01-18,1541.65,1552.62,1539.44,1543.84,1342034
2010-01-19,1548.23,1561.39,1541.65,1546.03,1465611
2010-01-20,1561.39,1563.56,1543.84,1543.84,1355259
2010-01-21,1537.26,1550.42,1521.9,1550.42,2430072
2010-01-22,1495.6,1506.54,1478.03,1484.63,4861054
2010-01-25,1484.63,1489.02,1471.47,1482.43,2365318
2010-01-26,1526.28,1526.28,1475.85,1480.25,3371731
2010-01-27,1464.86,1471.47,1449.53,1458.3,3592893
2010-01-28,1458.3,1475.85,1451.73,1458.3,2204346
2010-01-29,1451.73,1458.3,1445.15,1447.34,2026959
2010-02-01,1445.15,1445.15,1425.4,1427.6,2041552
2010-02-02,1449.53,1475.85,1449.53,1469.25,2123633
2010-02-03,1495.6,1502.17,1480.25,1486.82,1893806
2010-02-04,1464.86,1473.65,1451.73,1471.47,2109497
2010-02-05,1436.39,1458.3,1434.18,1451.73,2363494
2010-02-08,1442.96,1453.91,1434.18,1445.15,1725539
2010-02-09,1429.79,1451.73,1429.79,1438.58,2078033
2010-02-10,1460.5,1467.07,1451.73,1458.3,1814460
2010-02-12,1486.82,1495.6,1475.85,1482.43,3037475
2010-02-15,1484.63,1486.82,1471.47,1475.85,1152335
2010-02-16,1475.85,1489.02,1473.65,1482.43,1051557
2010-02-17,1495.6,1506.54,1491.21,1506.54,1643457
2010-02-18,1502.17,1513.12,1493.39,1508.73,2060703
2010-02-19,1519.7,1519.7,1473.65,1473.65,1548605
2010-02-22,1504.36,1510.93,1486.82,1499.98,2018752
2010-02-23,1464.86,1471.47,1451.73,1453.91,4183424
2010-02-24,1436.39,1447.34,1432.0,1442.96,2669931
2010-02-25,1438.58,1445.15,1405.65,1414.43,3793083
2010-02-26,1410.05,1432.0,1410.05,1425.4,2138681
2010-03-01,1427.6,1436.39,1416.63,1429.79,1821756
2010-03-02,1418.83,1432.0,1416.63,1427.6,1686322
2010-03-03,1423.22,1429.79,1414.43,1423.22,1945790
2010-03-04,1429.79,1438.58,1414.43,1416.63,2145977
2010-03-05,1423.22,1436.39,1418.83,1425.4,1986831
2010-03-08,1445.15,1447.34,1434.18,1440.76,2469744
2010-03-09,1442.96,1445.15,1432.0,1432.0,1115852
2010-03-10,1432.0,1438.58,1414.43,1416.63,2305582
2010-03-11,1421.02,1423.22,1405.65,1416.63,2083505
2010-03-12,1434.18,1434.18,1414.43,1425.4,3712368
2010-03-15,1427.6,1432.0,1421.02,1425.4,1082111
2010-03-16,1414.43,1418.83,1405.65,1407.87,2720092
2010-03-17,1418.83,1442.96,1414.43,1438.58,3621624
2010-03-18,1458.3,1464.86,1453.91,1456.11,3357137
2010-03-19,1460.5,1464.86,1456.11,1458.3,1531278
2010-03-23,1469.25,1482.43,1460.5,1464.86,2441471
2010-03-24,1475.85,1486.82,1471.47,1478.03,2159657
2010-03-25,1464.86,1467.07,1449.53,1456.11,2085784
2010-03-26,1464.86,1482.43,1460.5,1473.65,2154641
2010-03-29,1469.25,1495.6,1462.68,1489.02,1845926
2010-03-30,1504.36,1513.12,1499.98,1508.73,2114513
2010-03-31,1517.51,1519.7,1497.78,1504.36,2032431
2010-04-01,1524.1,1556.99,1519.7,1546.03,4653113
2010-04-02,1561.39,1583.29,1554.79,1578.91,2937609
2010-04-05,1587.69,1598.65,1563.56,1570.13,2507137
2010-04-06,1594.27,1594.27,1561.39,1570.13,2282780
2010-04-07,1570.13,1572.33,1548.23,1567.93,2350725
2010-04-08,1567.93,1578.91,1556.99,1574.52,2632995
2010-04-09,1546.03,1574.52,1543.84,1563.56,3555046
2010-04-12,1589.88,1589.88,1561.39,1563.56,2185195
2010-04-13,1556.99,1561.39,1537.26,1556.99,2645308
2010-04-14,1559.18,1565.76,1543.84,1546.03,2084873
2010-04-15,1570.13,1578.91,1556.99,1561.39,2258612
2010-04-16,1550.42,1556.99,1539.44,1556.99,2037449
2010-04-19,1524.1,1528.48,1497.78,1508.73,3084900
2010-04-20,1506.54,1526.28,1504.36,1510.93,1819477
2010-04-21,1537.26,1541.65,1515.32,1519.7,1876021
2010-04-22,1524.1,1524.1,1502.17,1515.32,1533556
2010-04-23,1517.51,1532.86,1510.93,1519.7,1642543
2010-04-26,1535.07,1539.44,1526.28,1532.86,1442355
2010-04-27,1519.7,1524.1,1502.17,1513.12,2190210
2010-04-28,1486.82,1491.21,1456.11,1467.07,4254562
2010-04-30,1489.02,1497.78,1462.68,1462.68,2325646
2010-05-06,1425.4,1442.96,1412.24,1429.79,3706440
2010-05-07,1388.13,1412.24,1388.13,1405.65,4279643
2010-05-10,1394.71,1464.86,1390.32,1453.91,4089031
2010-05-11,1467.07,1469.25,1410.05,1421.02,3301048
2010-05-12,1416.63,1432.0,1403.47,1418.83,2680418
2010-05-13,1423.22,1432.0,1405.65,1414.43,6364516
2010-05-14,1392.51,1399.09,1370.58,1379.36,5285600
2010-05-17,1357.43,1357.43,1311.38,1320.16,6193512
2010-05-18,1298.23,1309.18,1278.48,1287.26,7032568
2010-05-19,1285.05,1322.34,1276.29,1320.16,9000703
2010-05-20,1298.23,1324.54,1287.26,1298.23,5878866
2010-05-21,1271.89,1276.29,1228.05,1276.29,6524576
2010-05-24,1254.37,1276.29,1241.2,1263.13,5336216
2010-05-25,1234.63,1241.2,1206.11,1214.87,5721543
2010-05-26,1225.84,1234.63,1195.16,1203.94,5256871
2010-05-27,1199.53,1214.87,1182.01,1199.53,9876698
2010-05-28,1243.4,1267.53,1234.63,1249.96,7364542
2010-05-31,1236.82,1269.7,1234.63,1254.37,4837343
2010-06-01,1247.78,1252.18,1219.26,1236.82,3146918
2010-06-02,1223.66,1230.23,1208.3,1212.69,3340264
2010-06-03,1241.2,1256.56,1225.84,1252.18,4080369
2010-06-04,1245.6,1274.1,1241.2,1265.32,3329321
2010-06-07,1199.53,1210.49,1184.2,1186.37,4851477
2010-06-08,1186.37,1197.35,1184.2,1188.6,2402710
2010-06-09,1195.16,1195.16,1160.06,1171.02,3325674
2010-06-10,1186.37,1221.46,1182.01,1217.08,5290158
2010-06-11,1258.74,1258.74,1208.3,1210.49,5967789
2010-06-14,1221.46,1228.05,1217.08,1217.08,2653059
2010-06-15,1221.46,1243.4,1217.08,1232.43,3378115
2010-06-16,1258.74,1278.48,1221.46,1230.23,7535090
2010-06-17,1236.82,1243.4,1223.66,1230.23,4544585
2010-06-18,1225.84,1234.63,1214.87,1228.05,3111349
2010-06-21,1247.78,1247.78,1221.46,1241.2,3287824
2010-06-22,1232.43,1234.63,1199.53,1206.11,4176585
2010-06-23,1199.53,1199.53,1166.64,1171.02,3154214
2010-06-24,1175.43,1179.8,1162.26,1164.46,2083960
2010-06-25,1157.86,1166.64,1135.95,1140.34,4096327
2010-06-28,1160.06,1160.06,1120.59,1124.99,4113658
2010-06-29,1118.4,1118.4,1076.74,1082.21,6586137
2010-06-30,1054.8,1096.46,1053.7,1089.9,5821409
2010-07-01,1075.64,1076.74,1052.61,1064.68,4223555
2010-07-02,1072.36,1114.01,1067.96,1077.82,5897564
2010-07-05,1070.15,1089.9,1065.76,1067.96,3597453
2010-07-06,1052.61,1059.18,1033.96,1051.52,5419208
2010-07-07,1066.86,1082.21,1025.2,1028.5,10832491
2010-07-08,1041.64,1078.93,1010.95,1043.83,28692991
2010-07-09,890.33,925.42,890.33,910.07,45061885
2010-07-12,921.04,962.7,912.26,959.41,19953581
2010-07-13,968.18,981.33,956.13,968.18,15020477
2010-07-14,974.76,980.25,962.7,967.09,9456257
2010-07-15,953.93,957.22,914.46,917.72,10075515
2010-07-16,927.61,938.58,904.59,915.55,13128040
2010-07-20,908.99,910.07,877.17,880.48,12293998
2010-07-21,885.95,898.01,874.97,883.75,19907525
2010-07-22,885.95,891.44,857.44,861.82,33463755
2010-07-23,874.97,921.04,864.01,899.12,48089328
2010-07-26,945.16,965.99,924.32,942.97,60269328
2010-07-27,944.08,968.18,936.38,958.32,52272753
2010-07-28,964.89,968.18,945.16,956.13,16897408
2010-07-29,925.42,935.28,925.42,927.61,19592877
2010-07-30,927.61,927.61,905.7,925.42,16994540
2010-08-02,925.42,927.61,908.99,914.46,29309515
2010-08-03,917.72,938.58,917.72,936.38,140973776
2010-08-04,931.99,946.26,922.13,922.13,26858012
2010-08-05,936.38,938.58,925.42,931.99,18880136
2010-08-06,927.61,934.19,925.42,934.19,10029002
2010-08-09,927.61,930.89,918.85,928.7,10048611
2010-08-10,935.28,940.77,924.32,940.77,33369817
2010-08-11,937.49,938.58,903.49,904.59,16479248
2010-08-12,892.53,906.78,883.75,905.7,17000467
2010-08-13,905.7,911.17,893.63,900.2,8090055
2010-08-16,884.85,888.14,857.44,868.41,18674474
2010-08-17,861.82,866.2,826.73,830.04,24616270
2010-08-18,839.89,872.78,835.51,868.41,28594493
2010-08-19,874.97,898.01,873.88,887.05,15138129
2010-08-20,871.69,884.85,869.48,873.88,6228626
2010-08-23,868.41,882.66,867.3,878.25,7738016
2010-08-24,872.78,876.08,850.86,854.15,9361863
2010-08-25,841.0,849.75,835.51,836.6,8452124
2010-08-26,851.97,853.05,831.11,842.08,6043028
2010-08-27,837.69,853.05,831.11,851.97,7873907
2010-08-30,870.59,882.66,853.05,857.44,7634044
2010-08-31,842.08,842.08,817.96,833.31,15666641
2010-09-01,832.22,854.15,831.11,853.05,9308963
2010-09-02,879.36,883.75,861.82,878.25,12031794
2010-09-03,879.36,902.4,876.08,900.2,12750009
2010-09-06,905.7,908.99,893.63,900.2,5907594
2010-09-07,898.01,908.99,892.53,893.63,6925406
2010-09-08,878.25,891.44,878.25,885.95,5840560
2010-09-09,901.29,908.99,879.36,885.95,6723851
2010-09-10,899.12,905.7,889.22,895.83,8396035
2010-09-13,905.7,922.13,902.4,915.55,10600837
2010-09-14,915.55,915.55,898.01,902.4,7055827
2010-09-15,899.12,921.04,888.14,902.4,9221410
2010-09-16,899.12,902.4,864.01,868.41,10249713
2010-09-17,872.78,879.36,865.1,876.08,8135199
2010-09-21,904.59,913.35,878.25,887.05,11278011
2010-09-22,881.55,899.12,880.48,890.33,5868835
2010-09-24,888.14,894.72,874.97,876.08,8933671
2010-09-27,885.95,904.59,876.08,896.92,8703841
2010-09-28,888.14,893.63,872.78,877.17,7042600
2010-09-29,890.33,902.4,885.95,894.72,11587642
2010-09-30,889.22,890.33,858.53,861.82,14155429
2010-10-01,870.59,885.95,857.44,883.75,10328603
2010-10-04,893.63,907.88,883.75,887.05,12539788
2010-10-05,878.25,888.14,872.78,885.95,7653196
2010-10-06,896.92,914.46,891.44,908.99,10759074
2010-10-07,914.46,930.89,913.35,928.7,28925554
2010-10-08,931.99,963.79,930.89,962.7,42020307
2010-10-12,962.7,967.09,945.16,950.65,16234829
2010-10-13,951.74,963.79,948.45,957.22,14073346
2010-10-14,963.79,1002.17,963.79,996.71,29998545
2010-10-15,995.6,1006.55,975.86,992.3,23146100
2010-10-18,989.02,1012.03,984.64,991.21,9127472
2010-10-19,1002.17,1005.47,972.59,980.25,10252448
2010-10-20,936.38,957.22,931.99,947.36,13991720
2010-10-21,967.09,968.18,945.16,951.74,8018460
